r.concept.name,db.concept.name,db.concept.uuid
hp.id,EAMENA ID,34cfe992-c2c0-11ea-9026-02e7594ce0a0
Investigator.Role.Type,Investigator Role Type,d2e1ab96-cc05-11ea-a292-02e7594ce0a0
Geometric.Place.Expression,Geometric Place Expression,5348cf67-c2c5-11ea-9026-02e7594ce0a0
Cultural.Period,Cultural Period,3b5c9ac7-5615-3de6-9e2d-4cd7ef7460e4
Cultural.Period.Type,Cultural Period Type,38cff73b-c77b-11ea-a292-02e7594ce0a0
Cultural.Sub-Period,Cultural Sub-Period,16cb160e-7b31-4872-b2ca-6305ad311011
Disturbance.Extent.Type,Disturbance Extent Type,41488800-6c00-30f2-b93f-785e38ab6251
cc.id,COMPONENT ID,c86fdfe8-cb7e-11ea-a292-02e7594ce0a0
bc.id,Built Component Observation,8fc30f35-cb7e-11ea-a292-02e7594ce0a0
Component.Type,Component Type,0b31e7ac-774b-442b-8aa8-b22e0dd2711e
Structural.Component,Structural Component,209ca140-9853-4000-8fb9-8c50844f6b0d
Measurement.Number,Measurement Number,5b3489c0-cb8f-11ea-a292-02e7594ce0a0
Stable,Stable,17fe354b-7df5-4f21-b21f-182612e73c8d
Room,Room,642e89b5-70cb-46e1-851d-7930858b7f65
