"RESOURCEID_FROM","RESOURCEID_TO","START_DATE","END_DATE","RELATION_TYPE","NOTES"
"EAMENA-0188039","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188041","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188042","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188043","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188044","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188045","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188046","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188047","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188048","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188049","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188050","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188051","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188052","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188053","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188054","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188055","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188056","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188057","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188058","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188059","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188060","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188061","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188062","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188063","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188064","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188065","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188066","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188067","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188068","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
"EAMENA-0188069","INFORMATION-0000052","x","x","Heritage Resource - Information Resource","x"
