"id"	"EAMENAID"
"1"	"EAMENA-0192223"
"2"	"EAMENA-0192598"
"3"	"EAMENA-0192599"
"4"	"EAMENA-0192600"
"5"	"EAMENA-0192601"
"6"	"EAMENA-0192602"
"7"	"EAMENA-0192603"
"8"	"EAMENA-0192604"
"9"	"EAMENA-0192605"
"10"	"EAMENA-0192606"
"11"	"EAMENA-0192608"
"12"	"EAMENA-0192609"
"13"	"EAMENA-0192610"
"14"	"EAMENA-0192611"
"15"	"EAMENA-0192612"
"16"	"EAMENA-0192613"
"17"	"EAMENA-0192614"
"18"	"EAMENA-0192615"
"19"	"EAMENA-0192616"
"20"	"EAMENA-0192617"
"21"	"EAMENA-0192618"
"22"	"EAMENA-0192619"
"23"	"EAMENA-0192620"
"24"	"EAMENA-0192621"
"25"	"EAMENA-0192622"
"26"	"EAMENA-0192623"
"27"	"EAMENA-0192624"
"28"	"EAMENA-0192625"
"29"	"EAMENA-0192626"
"30"	"EAMENA-0192627"
"31"	"EAMENA-0192628"
"32"	"EAMENA-0192629"
"33"	"EAMENA-0192630"
"34"	"EAMENA-0192631"
"35"	"EAMENA-0192632"
"36"	"EAMENA-0192633"
"37"	"EAMENA-0192634"
"38"	"EAMENA-0192635"
"39"	"EAMENA-0192636"
"40"	"EAMENA-0192637"
"41"	"EAMENA-0192638"
"42"	"EAMENA-0192639"
"43"	"EAMENA-0192640"
"44"	"EAMENA-0192641"
"45"	"EAMENA-0192642"
"46"	"EAMENA-0192643"
"47"	"EAMENA-0192644"
"48"	"EAMENA-0192645"
"49"	"EAMENA-0192646"
"50"	"EAMENA-0192647"
"51"	"EAMENA-0192648"
"52"	"EAMENA-0192649"
"53"	"EAMENA-0192650"
"54"	"EAMENA-0192651"
"55"	"EAMENA-0192652"
"56"	"EAMENA-0192653"
"57"	"EAMENA-0192654"
"58"	"EAMENA-0192655"
"59"	"EAMENA-0192656"
"60"	"EAMENA-0192657"
"61"	"EAMENA-0192658"
"62"	"EAMENA-0192659"
"63"	"EAMENA-0192660"
"64"	"EAMENA-0192661"
"65"	"EAMENA-0192662"
"66"	"EAMENA-0192663"
"67"	"EAMENA-0192664"
"68"	"EAMENA-0192665"
"69"	"EAMENA-0192666"
"70"	"EAMENA-0192667"
"71"	"EAMENA-0192668"
"72"	"EAMENA-0192669"
"73"	"EAMENA-0192670"
"74"	"EAMENA-0192671"
"75"	"EAMENA-0192672"
"76"	"EAMENA-0192673"
"77"	"EAMENA-0192674"
"78"	"EAMENA-0192675"
"79"	"EAMENA-0192676"
"80"	"EAMENA-0192677"
"81"	"EAMENA-0192678"
"82"	"EAMENA-0192679"
"83"	"EAMENA-0192680"
"84"	"EAMENA-0192681"
"85"	"EAMENA-0192682"
"86"	"EAMENA-0192683"
"87"	"EAMENA-0192684"
"88"	"EAMENA-0192685"
"89"	"EAMENA-0192686"
"90"	"EAMENA-0192687"
"91"	"EAMENA-0192688"
"92"	"EAMENA-0192689"
"93"	"EAMENA-0192690"
"94"	"EAMENA-0192691"
"95"	"EAMENA-0192692"
"96"	"EAMENA-0192693"
"97"	"EAMENA-0192694"
"98"	"EAMENA-0192695"
"99"	"EAMENA-0192696"
"100"	"EAMENA-0192697"
"101"	"EAMENA-0192698"
"102"	"EAMENA-0192700"
"103"	"EAMENA-0194693"
"104"	"EAMENA-0194694"
"105"	"EAMENA-0194695"
"106"	"EAMENA-0194696"
"107"	"EAMENA-0194697"
"108"	"EAMENA-0194698"
"109"	"EAMENA-0194699"
"110"	"EAMENA-0194700"
"111"	"EAMENA-0194701"
"112"	"EAMENA-0194702"
"113"	"EAMENA-0194703"
"114"	"EAMENA-0194704"
"115"	"EAMENA-0194705"
"116"	"EAMENA-0194706"
"117"	"EAMENA-0194707"
"118"	"EAMENA-0194708"
"119"	"EAMENA-0194709"
"120"	"EAMENA-0194710"
"121"	"EAMENA-0194711"
"122"	"EAMENA-0194712"
"123"	"EAMENA-0194713"
"124"	"EAMENA-0194714"
"125"	"EAMENA-0194715"
"126"	"EAMENA-0194716"
"127"	"EAMENA-0194717"
"128"	"EAMENA-0194718"
"129"	"EAMENA-0194719"
"130"	"EAMENA-0194752"
"131"	"EAMENA-0194753"
"132"	"EAMENA-0194754"
"133"	"EAMENA-0194755"
"134"	"EAMENA-0194756"
"135"	"EAMENA-0194757"
"136"	"EAMENA-0194758"
"137"	"EAMENA-0194759"
"138"	"EAMENA-0194760"
"139"	"EAMENA-0194761"
"140"	"EAMENA-0194762"
"141"	"EAMENA-0194763"
"142"	"EAMENA-0194764"
"143"	"EAMENA-0194765"
"144"	"EAMENA-0194766"
"145"	"EAMENA-0194767"
"146"	"EAMENA-0194768"
"147"	"EAMENA-0194769"
"148"	"EAMENA-0194770"
"149"	"EAMENA-0194771"
"150"	"EAMENA-0194772"
"151"	"EAMENA-0194773"
"152"	"EAMENA-0194774"
"153"	"EAMENA-0194775"
"154"	"EAMENA-0194776"
"155"	"EAMENA-0194777"
"156"	"EAMENA-0194778"
